Image0002
Records Bleach Event Markers
Time (s),Label
42.000000,BleachStart
42.500000,BleachEnd

Series,Color
Ch1 Region4  (Intensity Average),RGB:255,0,0

No,Time :0.000000 to 595.611000 (s),Ch1 Region4  (Intensity Average)
0,0.000000,1607.751369
1,3.057000,1586.778751
2,6.084000,1499.644031
3,9.094000,1519.754655
4,12.090000,1590.226725
5,15.100000,1537.173056
6,18.096000,1479.063527
7,21.106000,1616.125958
8,24.102000,1479.406353
9,27.113000,1495.380066
10,30.108000,1469.937568
11,33.119000,1476.027382
12,36.114000,1487.695509
13,39.125000,1501.879518
14,42.120000,1554.670318
15,42.869000,1092.048193
16,45.879000,1421.878423
17,48.875000,1364.236583
18,51.885000,1287.461117
19,54.881000,1238.399781
20,57.892000,1268.353779
21,60.887000,1260.874042
22,63.898000,1266.319825
23,66.893000,1208.002191
24,69.904000,1186.065717
25,72.899000,1264.491785
26,75.910000,1223.061336
27,78.905000,1237.676889
28,81.916000,1216.032859
29,84.911000,1182.125958
30,87.922000,1153.525739
31,90.917000,1122.147864
32,93.928000,1078.893757
33,96.923000,1224.737130
34,99.934000,1175.479737
35,102.929000,1227.861993
36,105.940000,1237.984666
37,108.935000,1215.937568
38,111.946000,1193.322015
39,114.941000,1217.290252
40,117.952000,1295.027382
41,120.947000,1156.305586
42,123.958000,1255.704272
43,126.953000,1198.897043
44,129.964000,1204.710843
45,132.959000,1235.703176
46,135.970000,1378.069003
47,138.965000,1298.619934
48,141.976000,1388.500548
49,144.971000,1458.504929
50,147.982000,1452.187295
51,150.977000,1448.975904
52,153.988000,1494.286966
53,156.983000,1505.886090
54,159.994000,1530.009858
55,162.989000,1397.750274
56,166.000000,1493.304491
57,168.995000,1577.169770
58,172.006000,1526.086528
59,175.064000,1547.580504
60,178.059000,1542.428258
61,181.086000,1597.185104
62,184.081000,1547.646221
63,187.092000,1707.102957
64,190.087000,1625.449069
65,193.098000,1612.374589
66,196.093000,1591.014239
67,199.104000,1679.995619
68,202.099000,1565.910186
69,205.110000,1650.238773
70,208.105000,1777.306681
71,211.116000,1711.884995
72,214.111000,1745.159912
73,217.122000,1579.803943
74,220.117000,1715.624315
75,223.128000,1729.355969
76,226.123000,1728.828039
77,229.134000,1742.419496
78,232.129000,1681.858708
79,235.140000,1762.918949
80,238.135000,1711.286966
81,241.146000,1756.900329
82,244.141000,1819.064622
83,247.152000,1735.891566
84,250.147000,1745.759036
85,253.158000,1845.041621
86,256.153000,1718.888280
87,259.164000,1788.995619
88,262.159000,1841.739321
89,265.170000,1838.769989
90,268.165000,1846.514786
91,271.176000,1825.194962
92,274.171000,1883.411829
93,277.182000,1806.407448
94,280.177000,1835.906900
95,283.188000,1859.184009
96,286.183000,1910.069003
97,289.194000,1877.185104
98,292.205000,1889.969332
99,295.200000,1843.630887
100,298.211000,1902.853231
101,301.206000,1843.224535
102,304.217000,1925.717415
103,307.212000,1903.176342
104,310.223000,1908.221249
105,313.218000,1932.404162
106,316.229000,2008.124863
107,319.224000,1940.676889
108,322.235000,1874.664841
109,325.230000,1990.364732
110,328.241000,2062.583790
111,331.236000,2059.622125
112,334.247000,1975.000000
113,337.243000,1918.545455
114,340.253000,2050.745893
115,343.249000,2071.143483
116,346.259000,2041.584885
117,349.255000,2113.492881
118,352.265000,2092.935378
119,355.261000,2091.500548
120,358.271000,2104.518072
121,361.267000,2100.853231
122,364.277000,2110.171961
123,367.273000,2124.991238
124,370.284000,2191.542169
125,373.279000,2110.120482
126,376.290000,2137.566265
127,379.285000,2206.469880
128,382.296000,2176.269441
129,385.291000,2194.346112
130,388.302000,2180.414020
131,391.297000,2198.269441
132,394.308000,2220.688938
133,397.318000,2226.106243
134,400.314000,2234.473165
135,403.325000,2215.741512
136,406.320000,2247.123768
137,409.331000,2284.854326
138,412.326000,2321.391019
139,415.337000,2294.233297
140,418.332000,2343.012048
141,421.343000,2315.088719
142,424.338000,2314.236583
143,427.349000,2343.604600
144,430.344000,2397.782037
145,433.355000,2366.830230
146,436.350000,2319.918949
147,439.361000,2307.418401
148,442.356000,2350.133625
149,445.367000,2344.910186
150,448.362000,2360.767798
151,451.373000,2360.518072
152,454.368000,2406.496166
153,457.379000,2408.963855
154,460.374000,2423.025192
155,463.385000,2337.772180
156,466.380000,2420.909091
157,469.391000,2475.903614
158,472.386000,2361.744797
159,475.397000,2475.081051
160,478.392000,2434.279299
161,481.403000,2388.961665
162,484.398000,2492.891566
163,487.409000,2458.584885
164,490.404000,2494.779847
165,493.415000,2491.893757
166,496.426000,2497.210296
167,499.421000,2530.842278
168,502.432000,2491.481928
169,505.427000,2483.277108
170,508.438000,2494.858708
171,511.433000,2502.455641
172,514.444000,2550.905805
173,517.439000,2541.800657
174,520.450000,2548.065717
175,523.445000,2492.985761
176,526.456000,2550.646221
177,529.451000,2552.271632
178,532.462000,2549.579409
179,535.457000,2515.657174
180,538.468000,2622.318729
181,541.463000,2603.775465
182,544.474000,2621.113910
183,547.469000,2586.345016
184,550.480000,2605.590361
185,553.475000,2647.877327
186,556.486000,2560.182913
187,559.482000,2530.254107
188,562.492000,2629.636364
189,565.503000,2576.803943
190,568.498000,2627.626506
191,571.509000,2592.860898
192,574.551000,2609.410734
193,577.578000,2555.964951
194,580.588000,2616.918949
195,583.584000,2571.757941
196,586.595000,2567.824754
197,589.590000,2506.349398
198,592.601000,2531.267251
199,595.611000,2548.350493
