Image0005
Records Bleach Event Markers
Time (s),Label
42.000000,BleachStart
42.500000,BleachEnd

Series,Color
Ch1 Region4  (Intensity Average),RGB:255,0,0

No,Time :0.000000 to 595.986000 (s),Ch1 Region4  (Intensity Average)
0,0.000000,4.215420
1,3.042000,3.358277
2,6.053000,1.979592
3,9.064000,2.929705
4,12.074000,6.360544
5,15.070000,3.038549
6,18.080000,7.092971
7,21.091000,11.156463
8,24.087000,1.251701
9,27.097000,5.734694
10,30.093000,3.936508
11,33.103000,6.315193
12,36.114000,2.360544
13,39.109000,12.741497
14,42.120000,2.925170
15,42.916000,1.326531
16,45.927000,2.916100
17,48.937000,6.784580
18,51.933000,9.448980
19,54.944000,11.365079
20,57.954000,8.433107
21,60.950000,6.172336
22,63.960000,2.560091
23,66.971000,12.641723
24,69.966000,60.560091
25,72.977000,8.782313
26,75.988000,4.891156
27,78.983000,7.013605
28,81.994000,4.682540
29,84.989000,3.759637
30,88.047000,3.365079
31,91.058000,5.773243
32,94.069000,1.829932
33,97.064000,3.199546
34,100.075000,2.024943
35,103.085000,4.002268
36,106.081000,12.124717
37,109.091000,6.031746
38,112.102000,1.743764
39,115.098000,6.541950
40,118.108000,8.281179
41,121.119000,7.038549
42,124.114000,6.079365
43,127.125000,5.882086
44,130.120000,6.734694
45,133.131000,7.746032
46,136.142000,4.820862
47,139.137000,2.702948
48,142.148000,5.911565
49,145.159000,7.464853
50,148.154000,8.287982
51,151.165000,2.471655
52,154.176000,2.442177
53,157.171000,3.995465
54,160.182000,5.623583
55,163.193000,13.573696
56,166.188000,3.122449
57,169.199000,3.639456
58,172.209000,3.782313
59,175.205000,3.616780
60,178.216000,2.301587
61,181.226000,2.256236
62,184.222000,12.201814
63,187.232000,11.732426
64,190.228000,4.206349
65,193.238000,4.394558
66,196.249000,6.210884
67,199.244000,4.448980
68,202.255000,15.614512
69,205.266000,4.714286
70,208.261000,5.850340
71,211.272000,3.848073
72,214.283000,5.376417
73,217.278000,3.619048
74,220.289000,4.641723
75,223.284000,7.335601
76,226.295000,13.820862
77,229.306000,9.117914
78,232.301000,7.365079
79,235.312000,2.931973
80,238.323000,3.249433
81,241.318000,17.399093
82,244.329000,9.095238
83,247.340000,6.253968
84,250.335000,8.895692
85,253.346000,7.337868
86,256.356000,9.666667
87,259.352000,5.383220
88,262.362000,1.965986
89,265.358000,4.653061
90,268.368000,7.492063
91,271.379000,3.607710
92,274.375000,17.598639
93,277.385000,7.244898
94,280.396000,7.637188
95,283.391000,5.226757
96,286.402000,6.920635
97,289.413000,15.852608
98,292.408000,2.986395
99,295.419000,7.544218
100,298.430000,2.167800
101,301.425000,8.387755
102,304.436000,1.870748
103,307.431000,10.070295
104,310.442000,14.458050
105,313.453000,6.392290
106,316.448000,14.104308
107,319.459000,7.614512
108,322.470000,8.637188
109,325.465000,10.015873
110,328.476000,5.843537
111,331.486000,6.596372
112,334.482000,8.229025
113,337.493000,3.126984
114,340.503000,8.167800
115,343.561000,7.938776
116,346.556000,20.632653
117,349.567000,11.902494
118,352.578000,1.408163
119,355.573000,7.689342
120,358.584000,4.621315
121,361.595000,10.122449
122,364.590000,11.430839
123,367.601000,9.807256
124,370.596000,7.276644
125,373.607000,6.993197
126,376.618000,4.324263
127,379.613000,13.680272
128,382.624000,9.312925
129,385.634000,2.609977
130,388.630000,7.675737
131,391.640000,5.210884
132,394.651000,8.650794
133,397.647000,2.668934
134,400.657000,14.269841
135,403.653000,16.433107
136,406.663000,3.811791
137,409.674000,8.739229
138,412.669000,4.730159
139,415.680000,11.571429
140,418.691000,13.866213
141,421.686000,5.020408
142,424.697000,12.770975
143,427.708000,13.029478
144,430.703000,2.213152
145,433.714000,6.544218
146,436.709000,7.786848
147,439.720000,4.575964
148,442.731000,5.433107
149,445.726000,4.419501
150,448.737000,7.630385
151,451.748000,4.870748
152,454.743000,5.732426
153,457.754000,10.442177
154,460.765000,8.875283
155,463.760000,3.081633
156,466.771000,7.124717
157,469.766000,13.369615
158,472.777000,6.630385
159,475.787000,8.530612
160,478.798000,9.287982
161,481.793000,7.471655
162,484.804000,3.503401
163,487.800000,5.013605
164,490.810000,5.798186
165,493.821000,6.764172
166,496.816000,6.362812
167,499.827000,15.748299
168,502.838000,11.836735
169,505.833000,8.600907
170,508.844000,4.746032
171,511.855000,13.682540
172,514.850000,8.285714
173,517.861000,3.578231
174,520.856000,5.959184
175,523.867000,4.399093
176,526.878000,7.943311
177,529.873000,13.560091
178,532.884000,12.244898
179,535.879000,6.396825
180,538.890000,22.619048
181,541.901000,20.376417
182,544.896000,8.959184
183,547.907000,6.195011
184,550.902000,5.811791
185,553.913000,6.532880
186,556.924000,7.444444
187,559.919000,5.664399
188,562.930000,3.238095
189,565.940000,14.031746
190,568.936000,13.444444
191,571.946000,5.662132
192,574.942000,10.453515
193,577.952000,8.684807
194,580.963000,14.387755
195,583.959000,10.684807
196,586.969000,6.058957
197,589.980000,3.566893
198,592.975000,9.453515
199,595.986000,16.689342
