Image0007
Records Bleach Event Markers
Time (s),Label
42.000000,BleachStart
42.500000,BleachEnd

Series,Color
Ch1 Region6  (Intensity Average),RGB:0,255,0

No,Time :0.000000 to 595.393000 (s),Ch1 Region6  (Intensity Average)
0,0.000000,929.938262
1,3.011000,937.180640
2,6.084000,910.652439
3,9.079000,837.580030
4,12.074000,848.025152
5,15.085000,835.113567
6,18.080000,828.894817
7,21.091000,802.532774
8,24.086000,784.175305
9,27.097000,808.721799
10,30.108000,785.768293
11,33.119000,760.160061
12,36.130000,815.695122
13,39.125000,734.012957
14,42.120000,755.744665
15,43.025000,314.248476
16,46.067000,508.096799
17,49.093000,446.094512
18,52.089000,422.646341
19,55.084000,448.153201
20,58.095000,394.273628
21,61.090000,420.474085
22,64.101000,437.692073
23,67.096000,412.881860
24,70.107000,472.990091
25,73.102000,419.958079
26,76.097000,424.959604
27,79.108000,454.690549
28,82.103000,470.498476
29,85.114000,426.569360
30,88.109000,443.033537
31,91.104000,434.868140
32,94.115000,426.003811
33,97.110000,473.590701
34,100.121000,496.834604
35,103.117000,435.102896
36,106.112000,502.381098
37,109.123000,474.462652
38,112.118000,454.522104
39,115.129000,459.633384
40,118.124000,486.185213
41,121.119000,497.641768
42,124.130000,455.195884
43,127.125000,463.206555
44,130.136000,447.362043
45,133.131000,484.904726
46,136.126000,477.509146
47,139.137000,476.385671
48,142.132000,485.012195
49,145.143000,489.199695
50,148.138000,525.689787
51,151.134000,473.972561
52,154.144000,442.903201
53,157.140000,502.842988
54,160.150000,450.858232
55,163.146000,487.006098
56,166.141000,529.298780
57,169.152000,550.057927
58,172.147000,495.663872
59,175.158000,489.766768
60,178.153000,481.466463
61,181.148000,487.189787
62,184.159000,486.056402
63,187.154000,533.315549
64,190.165000,455.121189
65,193.160000,486.416159
66,196.155000,482.001524
67,199.166000,488.310976
68,202.162000,454.086128
69,205.172000,503.150152
70,208.168000,532.181402
71,211.178000,537.772104
72,214.174000,493.931402
73,217.169000,550.412348
74,220.180000,471.529726
75,223.175000,473.122713
76,226.186000,484.755335
77,229.181000,486.551067
78,232.176000,470.182165
79,235.187000,522.041921
80,238.182000,526.650152
81,241.193000,511.793445
82,244.188000,504.214177
83,247.183000,529.349085
84,250.194000,488.975610
85,253.189000,534.840701
86,256.200000,530.951982
87,259.196000,524.750000
88,262.191000,496.323933
89,265.202000,515.131098
90,268.197000,550.801829
91,271.208000,554.855945
92,274.203000,536.669207
93,277.198000,524.194360
94,280.209000,522.205793
95,283.204000,585.003049
96,286.215000,562.634909
97,289.210000,557.025915
98,292.205000,517.151677
99,295.216000,535.290396
100,298.211000,579.508384
101,301.222000,553.243902
102,304.217000,575.144055
103,307.213000,550.748476
104,310.223000,527.658537
105,313.219000,526.939787
106,316.229000,551.029726
107,319.225000,541.383384
108,322.220000,550.868902
109,325.231000,560.757622
110,328.226000,566.394817
111,331.237000,585.576220
112,334.232000,521.645579
113,337.243000,514.402439
114,340.238000,580.599848
115,343.233000,553.390244
116,346.244000,544.586128
117,349.239000,556.105945
118,352.235000,517.538110
119,355.245000,576.608994
120,358.241000,549.349848
121,361.251000,578.296494
122,364.247000,534.758384
123,367.257000,547.138720
124,370.253000,561.638720
125,373.248000,537.956555
126,376.259000,542.284299
127,379.254000,593.753811
128,382.265000,538.986280
129,385.260000,527.657774
130,388.271000,530.576220
131,391.266000,534.637195
132,394.261000,522.592226
133,397.272000,528.026677
134,400.267000,511.271341
135,403.278000,580.153201
136,406.289000,519.012195
137,409.284000,519.331555
138,412.279000,538.553354
139,415.290000,517.930640
140,418.285000,537.924543
141,421.296000,541.754573
142,424.291000,521.255335
143,427.302000,495.995427
144,430.297000,533.039634
145,433.293000,534.426829
146,436.303000,501.180640
147,439.299000,518.240091
148,442.309000,502.038110
149,445.305000,533.125000
150,448.300000,541.894055
151,451.311000,548.778201
152,454.306000,548.374238
153,457.317000,559.160823
154,460.312000,528.626524
155,463.323000,489.989329
156,466.318000,536.333079
157,469.329000,508.562500
158,472.324000,507.140244
159,475.335000,506.725610
160,478.330000,529.243140
161,481.325000,492.573171
162,484.336000,539.362043
163,487.331000,496.502287
164,490.342000,530.889482
165,493.337000,514.107470
166,496.348000,510.849848
167,499.343000,513.573171
168,502.339000,521.120427
169,505.349000,483.250762
170,508.345000,485.684451
171,511.356000,522.040396
172,514.351000,488.700457
173,517.346000,488.714939
174,520.357000,504.300305
175,523.352000,505.842988
176,526.363000,500.173780
177,529.358000,563.366616
178,532.353000,470.815549
179,535.364000,540.689024
180,538.359000,489.488567
181,541.370000,510.896341
182,544.365000,506.247713
183,547.361000,491.843750
184,550.371000,499.504573
185,553.367000,472.917683
186,556.362000,483.340701
187,559.373000,463.006098
188,562.368000,507.714939
189,565.379000,519.583841
190,568.374000,506.310213
191,571.369000,473.493902
192,574.380000,464.507622
193,577.375000,523.351372
194,580.386000,472.669207
195,583.381000,467.694360
196,586.376000,518.433689
197,589.387000,499.219512
198,592.382000,473.307927
199,595.393000,446.146341
