Image0009
Records Bleach Event Markers
Time (s),Label
42.000000,BleachStart
42.500000,BleachEnd

Series,Color
Ch1 Region9  (Intensity Average),RGB:0,255,0

No,Time :0.000000 to 595.908000 (s),Ch1 Region9  (Intensity Average)
0,0.000000,2089.054264
1,3.026000,2276.922481
2,6.037000,2339.868217
3,9.032000,2329.550388
4,12.043000,2252.317829
5,15.038000,2077.403101
6,18.049000,2167.302326
7,21.044000,2179.472868
8,24.055000,2034.953488
9,27.066000,2059.705426
10,30.061000,2172.666667
11,33.072000,2164.178295
12,36.067000,2045.271318
13,39.078000,2076.984496
14,42.073000,2038.806202
15,42.994000,1110.015504
16,46.005000,1537.751938
17,49.015000,1493.271318
18,52.011000,1563.023256
19,55.021000,1597.193798
20,58.017000,1446.054264
21,61.027000,1229.139535
22,64.023000,1794.883721
23,67.034000,1380.472868
24,70.044000,1380.069767
25,73.040000,1459.922481
26,76.050000,1594.364341
27,79.046000,1595.279070
28,82.056000,1449.906977
29,85.067000,1325.379845
30,88.062000,1445.224806
31,91.073000,1400.937984
32,94.068000,1444.658915
33,97.079000,1379.945736
34,100.075000,1468.906977
35,103.085000,1464.527132
36,106.096000,1425.868217
37,109.091000,1546.689922
38,112.102000,1368.372093
39,115.097000,1353.906977
40,118.108000,1541.627907
41,121.103000,1427.139535
42,124.114000,1296.054264
43,127.125000,1491.116279
44,130.120000,1502.372093
45,133.131000,1527.813953
46,136.126000,1446.387597
47,139.137000,1457.465116
48,142.132000,1313.224806
49,145.143000,1493.534884
50,148.154000,1191.348837
51,151.149000,1605.689922
52,154.160000,1479.519380
53,157.155000,1399.139535
54,160.166000,1454.581395
55,163.161000,1400.186047
56,166.172000,1546.651163
57,169.183000,1462.511628
58,172.178000,1451.837209
59,175.189000,1507.201550
60,178.184000,1421.178295
61,181.195000,1452.449612
62,184.253000,1736.279070
63,187.263000,1532.542636
64,190.274000,1638.643411
65,193.270000,1501.496124
66,196.280000,1387.689922
67,199.291000,1509.472868
68,202.286000,1425.643411
69,205.297000,1383.007752
70,208.292000,1515.054264
71,211.303000,1577.201550
72,214.314000,1530.364341
73,217.309000,1581.837209
74,220.320000,1569.604651
75,223.315000,1639.604651
76,226.326000,1356.930233
77,229.321000,1722.829457
78,232.332000,1629.984496
79,235.343000,1486.744186
80,238.338000,1426.651163
81,241.349000,1776.170543
82,244.344000,1594.550388
83,247.355000,1585.271318
84,250.350000,1595.674419
85,253.361000,1598.100775
86,256.372000,1633.682171
87,259.367000,1624.899225
88,262.378000,1468.240310
89,265.373000,1639.875969
90,268.384000,1715.542636
91,271.379000,1422.968992
92,274.390000,1519.434109
93,277.401000,1635.480620
94,280.396000,1430.038760
95,283.407000,1476.550388
96,286.402000,1524.651163
97,289.413000,1608.682171
98,292.424000,1875.945736
99,295.419000,1618.596899
100,298.430000,1455.930233
101,301.425000,1524.565891
102,304.436000,1609.767442
103,307.431000,1471.418605
104,310.442000,1522.069767
105,313.453000,1568.922481
106,316.448000,1563.240310
107,319.459000,1636.689922
108,322.454000,1626.124031
109,325.465000,1674.054264
110,328.460000,1618.782946
111,331.471000,1715.581395
112,334.482000,1684.139535
113,337.477000,1447.062016
114,340.488000,1691.596899
115,343.483000,1545.720930
116,346.494000,1488.387597
117,349.489000,1535.209302
118,352.500000,1654.713178
119,355.511000,1539.085271
120,358.506000,1620.736434
121,361.517000,1626.666667
122,364.512000,1798.813953
123,367.523000,1550.720930
124,370.518000,1489.782946
125,373.529000,1574.922481
126,376.539000,1824.798450
127,379.535000,1714.651163
128,382.546000,1560.728682
129,385.541000,1533.062016
130,388.552000,1575.596899
131,391.547000,1889.170543
132,394.558000,1767.364341
133,397.568000,1592.891473
134,400.564000,1507.023256
135,403.574000,1612.000000
136,406.570000,1750.992248
137,409.580000,1656.790698
138,412.576000,1523.465116
139,415.587000,1823.046512
140,418.597000,1717.000000
141,421.593000,1490.000000
142,424.603000,1568.356589
143,427.599000,1733.697674
144,430.609000,1560.457364
145,433.620000,1496.434109
146,436.615000,1604.054264
147,439.626000,1704.023256
148,442.622000,1647.054264
149,445.632000,1642.341085
150,448.643000,1782.906977
151,451.638000,1617.837209
152,454.649000,1668.558140
153,457.644000,1744.441860
154,460.655000,1814.829457
155,463.650000,1771.147287
156,466.661000,1506.310078
157,469.672000,1627.503876
158,472.667000,1635.139535
159,475.678000,1643.666667
160,478.673000,1806.457364
161,481.684000,1649.170543
162,484.695000,1561.689922
163,487.690000,1704.937984
164,490.701000,1635.155039
165,493.774000,1603.465116
166,496.769000,1670.689922
167,499.780000,1709.782946
168,502.775000,1776.728682
169,505.786000,1778.558140
170,508.797000,1758.488372
171,511.792000,1787.472868
172,514.803000,1831.596899
173,517.798000,1730.069767
174,520.809000,1903.232558
175,523.804000,1693.922481
176,526.815000,1809.775194
177,529.826000,1738.046512
178,532.821000,1738.434109
179,535.832000,1512.488372
180,538.827000,1862.341085
181,541.838000,1775.844961
182,544.833000,1732.085271
183,547.844000,1726.062016
184,550.855000,1702.728682
185,553.850000,1908.232558
186,556.861000,1714.403101
187,559.856000,1803.736434
188,562.867000,1633.906977
189,565.862000,1596.829457
190,568.873000,1578.317829
191,571.884000,1661.302326
192,574.879000,1482.488372
193,577.890000,1645.395349
194,580.885000,1816.255814
195,583.896000,1708.488372
196,586.907000,1693.131783
197,589.902000,1752.333333
198,592.913000,1885.387597
199,595.908000,1761.488372
